Topic,Question,Link
Problems of social media,Is Social Media addiction a real problem?,https://www.quora.com/Is-Social-Media-addiction-a-real-problem
Problems of social media,Why is Facebook considered social media?,https://www.quora.com/Why-is-Facebook-considered-social-media
Problems of social media,How can we solve this problem of fake social media profiles?,https://www.quora.com/How-can-we-solve-this-problem-of-fake-social-media-profiles
Problems of social media,How does social media affect mental health? ,https://www.quora.com/How-does-social-media-affect-mental-health-1
Problems of social media,How can we harness the power of social media platforms to crowdsource solutions to serious problems of society?,https://www.quora.com/unanswered/How-can-we-harness-the-power-of-social-media-platforms-to-crowdsource-solutions-to-serious-problems-of-society
Problems of social media,"Besides other factors, is social media a cause of anxiety, depression, and modern day psychological health problems?",https://www.quora.com/Besides-other-factors-is-social-media-a-cause-of-anxiety-depression-and-modern-day-psychological-health-problems
Problems of social media,"Is posting problems on social media, with movements like #MeToo, really helpful?",https://www.quora.com/Is-posting-problems-on-social-media-with-movements-like-MeToo-really-helpful
Problems of social media,What are your top 3 social media marketing challenges?,https://www.quora.com/What-are-your-top-3-social-media-marketing-challenges
Problems of social media,What's a first world problem that you face every day?,https://www.quora.com/Whats-a-first-world-problem-that-you-face-every-day
Problems of social media,"What are the biggest problems with current social media sites (Facebook, Twitter, etc.)?",https://www.quora.com/What-are-the-biggest-problems-with-current-social-media-sites-Facebook-Twitter-etc
Problems of social media,Why do people share their problems on social media?,https://www.quora.com/Why-do-people-share-their-problems-on-social-media
Problems of social media,Is there any better social network site than Facebook?,https://www.quora.com/Is-there-any-better-social-network-site-than-Facebook
Problems of social media,What are the problems of gaining popularity in social media?,https://www.quora.com/What-are-the-problems-of-gaining-popularity-in-social-media
Problems of social media,"What is the problem of Tamilians who are creating rage in social media by saying, ""Stop Hindi imposition.""?",https://www.quora.com/What-is-the-problem-of-Tamilians-who-are-creating-rage-in-social-media-by-saying-Stop-Hindi-imposition
Problems of social media,What is the biggest problem with social media?,https://www.quora.com/What-is-the-biggest-problem-with-social-media
Problems of social media,How serious a problem is social media addiction?,https://www.quora.com/How-serious-a-problem-is-social-media-addiction
Problems of social media,Should jawans take their problems to social media?,https://www.quora.com/Should-jawans-take-their-problems-to-social-media
Problems of social media,What are the common social media content marketing mistakes?,https://www.quora.com/What-are-the-common-social-media-content-marketing-mistakes
Problems of social media,What are the usual problems of an Amazon seller with regards to SEO and social media marketing?,https://www.quora.com/unanswered/What-are-the-usual-problems-of-an-Amazon-seller-with-regards-to-SEO-and-social-media-marketing
